TwitchToolkit - Log - Tuesday, January 16, 2024
Purchase fileycheesesteak: !buy wood 200 @ 10:07 PM
fileycheesesteak's karma went from 154 to 183
fileycheesesteak gets 50 * 1.83 coins, total 92
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
Purchase graxtello: !buy steel 400 @ 10:13 PM
graxtello's karma went from 250 to 250
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
Purchase graxtello: !buy wood 500 @ 10:18 PM
graxtello's karma went from 250 to 250
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
Purchase graxtello: !buy bed 5 @ 10:35 PM
graxtello's karma went from 250 to 250
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 1.83 coins, total 92
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
fileycheesesteak gets 50 * 0.915 coins, total 46
graxtello gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
