TwitchToolkit - Log - Wednesday, January 3, 2024
Purchase keinnin: !buy steel 2000 @ 9:11 AM
keinnin's karma went from 250 to 250
Purchase keinnin: !buy steel 2500 @ 9:11 AM
keinnin's karma went from 250 to 250
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
Purchase keinnin: !buy beer 75 @ 9:59 AM
keinnin's karma went from 250 to 250
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 0.5 coins, total 25
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 0.5 coins, total 25
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 0.5 coins, total 25
keinnin gets 70 * 0 coins, total 0
meruemnm gets 50 * 0 coins, total 0
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 0 coins, total 0
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 0 coins, total 0
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1 coins, total 50
meruemnm's karma went from 100 to 132
Purchase meruemnm: !buy tradercaravan @ 11:13 AM
meruemnm's karma went from 132 to 172
Purchase meruemnm: !buy orbitaltraderarrival @ 11:14 AM
meruemnm's karma went from 172 to 194
Purchase meruemnm: !buy resourcepodcrash @ 11:14 AM
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.94 coins, total 98
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.94 coins, total 98
Purchase meruemnm: !buy silver 200 @ 11:18 AM
meruemnm's karma went from 194 to 223
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.23 coins, total 112
meruemnm's karma went from 223 to 241
Purchase meruemnm: !buy psychicsoothe @ 11:19 AM
Purchase meruemnm: !buy silver 100 @ 11:20 AM
meruemnm's karma went from 241 to 250
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
